"code", "display", "parent"
"entering-staying-uk", "Entering and staying in the UK", "None"
"going-and-being-abroad", "Going and being abroad", "None"
"education", "Education, training and skills", "None"
"childcare-parenting", "Parenting, childcare and childrens services", "None"
"corporate-information", "Corporate information", "None"
"transport", "Transport", "None"
"environment", "Environment", "None"
"welfare", "Welfare", "None"
"housing-local-and-community", "Housing, local and community", "None"
"life-circumstances", "Life circumstances", "None"
"international", "International", "None"
"defence-and-armed-forces", "Defence and armed forces", "None"
"crime-justice-and-law", "Crime, justice and law", "None"
"regional-and-local-government", "Regional and local government", "None"
"society-and-culture", "Society and culture", "None"
"government/all", "Government", "None"
"work", "Work", "None"
"money", "Money", "None"
"business-and-industry", "Business and industry", "None"
"health-and-social-care", "Health and social care", "None"
"brexit", "Brexit", "None"
"coronavirus-taxon", "COVID-19", "None"
"entering-staying-uk/travel-identity-documents-for-foreign-nationals", "Travel and identity documents for foreign nationals", "entering-staying-uk"
"entering-staying-uk/immigration-offences", "Immigration offences", "entering-staying-uk"
"entering-staying-uk/immigration-adviser-services", "Immigration adviser services", "entering-staying-uk"
"entering-staying-uk/rights-foreign-nationals-uk", "Rights of foreign nationals in the UK", "entering-staying-uk"
"entering-staying-uk/visas-immigration-corporate", "Visas and immigration corporate", "entering-staying-uk"
"entering-staying-uk/border-control", "Border control", "entering-staying-uk"
"entering-staying-uk/immigration-rules", "Immigration rules", "entering-staying-uk"
"entering-staying-uk/refugees-asylum-human-rights", "Refugee, asylum and human rights", "entering-staying-uk"
"entering-staying-uk/visas-entry-clearance", "Visas and entry clearance", "entering-staying-uk"
"entering-staying-uk/permanent-stay-uk", "Permanent stay in the UK", "entering-staying-uk"
"entering-staying-uk/inspections-of-border-immigration-asylum-services", "Inspections of border, immigration and asylum services", "entering-staying-uk"
"going-and-being-abroad/travel-abroad", "Travel abroad [M]", "going-and-being-abroad"
"going-and-being-abroad/passports", "Passports [M]", "going-and-being-abroad"
"going-and-being-abroad/british-nationals-overseas", "British nationals overseas", "going-and-being-abroad"
"going-and-being-abroad/living-abroad", "Living abroad (level 2)", "going-and-being-abroad"
"education/further-and-higher-education-skills-and-vocational-training", "Further and higher education, skills and vocational training", "education"
"education/pupil-wellbeing-behaviour-and-attendance", "Pupil wellbeing, behaviour and attendance", "education"
"education/teaching-and-leadership", "Teaching and leadership", "education"
"education/inspections-and-performance-of-education-providers", "Inspections and performance of education providers", "education"
"education/education-of-disadvantaged-children", "Education of disadvantaged children", "education"
"education/starting-and-attending-school", "Starting and attending school", "education"
"education/running-and-managing-a-school", "Running and managing a school", "education"
"education/school-and-academy-financial-management-and-assurance", "School and academy financial management and assurance", "education"
"education/funding-and-finance-for-students", "Funding and finance for students", "education"
"education/school-curriculum", "School curriculum", "education"
"education/special-educational-needs-and-disability-send-and-high-needs", "Special educational needs and disability (SEND) and high needs", "education"
"education/school-and-academy-funding", "School and academy funding", "education"
"childcare-parenting/divorce-separation-and-legal-issues", "Divorce, separation and legal issues", "childcare-parenting"
"childcare-parenting/childcare-and-early-years", "Childcare and early years", "childcare-parenting"
"childcare-parenting/financial-help-if-you-have-children", "Financial help if you have children", "childcare-parenting"
"childcare-parenting/adoption-fostering-and-surrogacy", "Adoption, fostering and surrogacy", "childcare-parenting"
"childcare-parenting/childrens-health-and-welfare", "Children's health and welfare", "childcare-parenting"
"childcare-parenting/youth-employment-and-social-issues", "Youth employment and social issues", "childcare-parenting"
"childcare-parenting/pregnancy-and-birth", "Pregnancy and birth", "childcare-parenting"
"childcare-parenting/safeguarding-and-social-care-for-children", "Safeguarding and social care for children", "childcare-parenting"
"transport/transport-modelling-and-appraisal", "Transport modelling and appraisal", "transport"
"transport/rail", "Rail", "transport"
"transport/transport-planning", "Transport planning", "transport"
"transport/transport-security", "Transport security", "transport"
"transport/corporate-and-operational-information-transport", "Corporate and operational information (transport)", "transport"
"transport/driving-and-road-transport", "Driving and road transport", "transport"
"transport/road-infrastructure", "Road infrastructure", "transport"
"transport/careers-in-transport", "Careers in transport", "transport"
"transport/maritime-and-shipping", "Maritime and shipping", "transport"
"transport/aviation", "Aviation", "transport"
"transport/local-transport", "Local transport", "transport"
"transport/freight-haulage-and-cargo", "Freight, haulage and cargo", "transport"
"transport/transport-accessibility-and-mobility", "Transport accessibility and disability", "transport"
"environment/environmental-permits", "Environmental permits [T] (level 2, environment theme)", "environment"
"environment/water-industry", "Water industry (level 2)", "environment"
"environment/climate-change-energy", "Climate change and energy (level 2, content from policy areas)", "environment"
"environment/rural-and-countryside", "Rural and countryside (merged, level 2)", "environment"
"environment/pollution-and-environmental-quality", "Pollution and environmental quality", "environment"
"environment/river-maintenance-flooding-coastal-erosion", "River maintenance, flooding and coastal erosion", "environment"
"environment/wildlife-animals-biodiversity-and-ecosystems", "Wildlife, animals, biodiversity and ecosystems", "environment"
"environment/commercial-fishing-fisheries-and-vessels", "Commercial fishing, fisheries and vessels", "environment"
"environment/waste-and-recycling", "Waste and recycling", "environment"
"environment/food-and-farming", "Food and farming", "environment"
"environment/marine", "Marine", "environment"
"environment/chemicals", "Chemicals [T] (level 3, environment theme)", "environment"
"environment/climate-change-energy-energy-infrastructure", "Energy infrastructure [T]", "environment"
"welfare/child-benefit", "Child Benefit (welfare theme) [T]", "welfare"
"welfare/disability", "Carers and disability benefits [M]", "welfare"
"welfare/child-maintenance-reform", "Child maintenance reform [P]", "welfare"
"welfare/bereavement", "Death and benefits [M]", "welfare"
"welfare/families", "Benefits for families [M]", "welfare"
"welfare/heating", "Heating and housing benefits [M]", "welfare"
"welfare/tax-credits", "Tax credits [T]", "welfare"
"welfare/entitlement", "Benefits entitlement [M]", "welfare"
"welfare/jobseekers-allowance", "Jobseeker's Allowance and low income benefits [M]", "welfare"
"welfare/universal-credit", "Universal Credit [M]", "welfare"
"welfare/welfare-reform", "Welfare reform [P]", "welfare"
"housing-local-and-community/land-registration", "Land registration [T] (level 2, housing theme)", "housing-local-and-community"
"housing-local-and-community/planning-and-building", "Planning and building (merged, level 2)", "housing-local-and-community"
"housing-local-and-community/household-energy", "Household energy", "housing-local-and-community"
"housing-local-and-community/housing-and-communities", "Housing and communities (level 2)", "housing-local-and-community"
"life-circumstances/child-adoption", "Having a child, parenting and adoption [M]", "life-circumstances"
"life-circumstances/register-offices", "Certificates, register offices, changes of name or gender [M]", "life-circumstances"
"life-circumstances/marriage-divorce", "Marriage, civil partnership and divorce [M]", "life-circumstances"
"life-circumstances/death", "Death and bereavement [M]", "life-circumstances"
